period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last,timeout_taken
First_Period,3,40,12213,Shot,,,,,,,78.0,Regular_Attack,16.0,78.0,,True,False,True,0.398,0.268,0.258,0.944,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk, , , , , , , ,78,1190,1660,78.0,1666.0,
First_Period,3,12,12213,Shot,,,,,,,1190.0,Regular_Attack,12170.0,1190.0,,False,False,False,0.325,0.264,0.657,0.588,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Taiyo Watanabe, ,Radoslav Filipovic, , , , , ,78,1190,1632,78.0,1660.0,
First_Period,2,55,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Exclusion,4763.0,1190.0,1260.0,78.0,False,False,0.727,0.101,,78.0, , , , , , , , ,Yusuke Inaba,Boris Vapenski, ,78,1190,1615,1190.0,1632.0,
First_Period,2,42,12213,Shot,,,,,,,78.0,Regular_Attack,439.0,78.0,1260.0,True,False,False,0.671,0.221,0.753,0.497,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic,Boris Vapenski, , , , , , ,78,1190,1602,78.0,1615.0,
First_Period,2,13,12213,Shot,,,,,,,1190.0,Regular_Attack,12170.0,1190.0,,False,False,False,0.38,0.261,,,,,1027.0,78.0,401.0,,,,,,,,,,,,,,,,,,1190.0, , , ,Taiyo Watanabe, , , , , , ,Vuk Milojevic,78,1190,1573,78.0,1602.0,
First_Period,1,58,12213,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,False,0.504,0.32,0.855,0.654,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , , ,78,1190,1558,1190.0,1573.0,
First_Period,1,31,12213,Shot,,,,,,,1190.0,Regular_Attack,12170.0,1190.0,,False,False,False,0.553,0.322,0.502,0.391,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Taiyo Watanabe, ,Radoslav Filipovic, , , , , ,78,1190,1531,78.0,1558.0,
First_Period,1,25,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Offensive_Foul,4765.0,1190.0,,,,,,,,,,,,,,1190.0, , , , , , ,Kenta Araki, , , , ,78,1190,1525,1190.0,1531.0,
First_Period,1,9,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1422.0,78.0,,,,,,,,,,,,,,78.0, , , , , , ,Nemanja Vico, , , , ,78,1190,1509,1190.0,1525.0,
First_Period,0,59,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,1027.0,78.0,4765.0,1190.0,False,False,0.385,0.086,,1190.0, , , , , , , , ,Vuk Milojevic,Kenta Araki, ,78,1190,1499,78.0,1509.0,
First_Period,0,49,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,4755.0,1190.0,,,,,,,,,,,,,,1190.0, , , , , , ,Seiya Adachi, , , , ,78,1190,1489,1190.0,1499.0,
First_Period,0,27,12213,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,True,False,False,0.645,0.176,0.655,0.402,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , , ,78,1190,1467,1190.0,1489.0,
First_Period,0,1,12213,Shot,,,,,,,1190.0,Regular_Attack,4755.0,1190.0,,False,False,False,0.136,0.1,0.317,0.535,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Seiya Adachi, ,Radoslav Filipovic, , , , , ,78,1190,1441,78.0,1467.0,
Second_Period,8,0,12213,Swim_Off,1059.0,78.0,1190.0,12170.0,1190.0,12170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Petar Jaksic,Taiyo Watanabe,Taiyo Watanabe, , , , , , , , ,78,1190,1440,1190.0,1441.0,
Second_Period,7,34,12213,Shot,,,,,,,1190.0,Regular_Attack,4759.0,1190.0,,False,False,False,0.291,0.258,0.715,0.428,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Toi Suzuki, ,Radoslav Filipovic, , , , , ,78,1190,1414,1190.0,1440.0,
Second_Period,7,9,12213,Shot,,,,,,,78.0,Regular_Attack,16.0,78.0,,False,False,False,0.195,0.124,0.289,0.816,15272.0,1190.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk, ,Ren Sasano, , , , , ,78,1190,1389,1190.0,1414.0,
Second_Period,6,57,12213,Shot,,,,,,,1190.0,Regular_Attack,12171.0,1190.0,,False,False,False,0.686,0.132,0.615,0.606,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Daichi Ogihara, ,Radoslav Filipovic, , , , , ,78,1190,1377,78.0,1389.0,
Second_Period,6,41,12213,Shot,,,,,,,1190.0,Regular_Attack,4761.0,1190.0,,True,False,False,0.394,0.321,0.707,0.463,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Mitsuru Takata, , , , , , , ,78,1190,1361,1190.0,1377.0,
Second_Period,6,21,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Exclusion,12170.0,1190.0,464.0,78.0,False,False,0.593,0.092,,78.0, , , , , , , , ,Taiyo Watanabe,Nikola Jaksic, ,78,1190,1341,1190.0,1361.0,
Second_Period,6,16,12213,Shot,,,,,,,78.0,Power_Play,496.0,78.0,1059.0,True,False,False,0.674,0.201,0.752,0.41,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic,Petar Jaksic, , , , , , ,78,1190,1336,78.0,1341.0,
Second_Period,6,6,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,1029.0,78.0,24832.0,1190.0,False,False,0.571,0.094,,1190.0, , , , , , , , ,Vasilije Martinovic,Jun Lowrey, ,78,1190,1326,78.0,1336.0,
Second_Period,5,53,12213,Shot,,,,,,,1190.0,Power_Play,4759.0,1190.0,12174.0,True,False,False,0.519,0.208,0.262,0.412,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Toi Suzuki,Kiyomu Date, , , , , , ,78,1190,1313,1190.0,1326.0,
Second_Period,5,28,12213,Shot,,,,,,,78.0,Regular_Attack,733.0,78.0,,False,False,False,0.272,0.203,0.48,0.46,15272.0,1190.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Strahinja Rasovic, ,Ren Sasano, , , , , ,78,1190,1288,1190.0,1313.0,
Second_Period,5,17,12213,Shot,,,,,,,78.0,Regular_Attack,733.0,78.0,,False,False,False,0.49,0.308,0.85,0.699,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Strahinja Rasovic, , , , , , , ,78,1190,1277,78.0,1288.0,
Second_Period,5,2,12213,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,439.0,78.0,4763.0,1190.0,False,False,,,,1190.0, , , , , , , , ,Viktor Rasovic,Yusuke Inaba, ,78,1190,1262,78.0,1277.0,
Second_Period,4,52,12213,Shot,,,,,,,1190.0,Power_Play,4755.0,1190.0,,False,False,False,0.658,0.214,0.567,0.319,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Seiya Adachi, , , , , , , ,78,1190,1252,1190.0,1262.0,
Second_Period,4,34,12213,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1190.0,Lost_Ball,4759.0,1190.0,,,,,,,,,,,,,,1190.0, , , , , , ,Toi Suzuki, , , , ,78,1190,1234,1190.0,1252.0,
Second_Period,4,21,12213,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,False,False,False,0.649,0.285,0.908,0.207,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, , , , , , , ,78,1190,1221,1190.0,1234.0,
Second_Period,3,58,12213,Shot,,,,,,,1190.0,Regular_Attack,4759.0,1190.0,,False,False,False,0.45,0.255,0.28,0.0,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Toi Suzuki, , , , , , , ,78,1190,1198,78.0,1221.0,
Second_Period,3,35,12213,Shot,,,,,,,78.0,Regular_Attack,1029.0,78.0,,False,False,False,0.288,0.211,0.645,0.814,15272.0,1190.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Vasilije Martinovic, ,Ren Sasano, , , , , ,78,1190,1175,1190.0,1198.0,
