period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,1,7,12219,Shot,,,,,,,2528.0,Regular_Attack,25484.0,2528.0,,True,False,False,0.386,0.244,0.262,0.473,,,,,,,,,,,,,,,,,,,,,,,2528.0, , , ,Lucas Andrade, , , , , , , ,1190,2528,67,2528.0,77.0
First_Period,4,32,12220,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,2660.0, , , , , , , , , , , ,87,2660,1712,2660.0,1729.0
Fourth_Period,6,33,12220,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,2660.0, , , , , , , , , , , ,87,2660,393,2660.0,393.0
Fourth_Period,6,23,12220,Shot,,,,,,,2660.0,Power_Play,25418.0,2660.0,12202.0,True,False,False,0.557,0.105,0.677,0.5,,,,,,,,,,,,,,,,,,,,,,,2660.0, , , ,Bor Tanasijevic,Reuel Mark D'Souza, , , , , , ,87,2660,383,2660.0,393.0
Fourth_Period,6,8,12220,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,87.0, , , , , , , , , , , ,87,2660,368,2660.0,383.0
Fourth_Period,6,8,12220,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,Exclusion,12199.0,2660.0,1403.0,87.0,False,False,0.513,0.12,,87.0, , , , , , , , ,Aleksa Gardijan,Levente Vancsik, ,87,2660,368,87.0,368.0
Fourth_Period,6,0,12220,Shot,,,,,,,87.0,Power_Play,1403.0,87.0,1398.0,True,False,False,0.651,0.076,0.77,0.572,,,,,,,,,,,,,,,,,,,,,,,87.0, , , ,Levente Vancsik,Vlad Georgescu, , , , , , ,87,2660,360,87.0,368.0
Fourth_Period,3,12,12221,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,81.0, , , , , , , , , , , ,80,81,192,81.0,222.0
Fourth_Period,3,12,12221,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,Exclusion,136.0,80.0,862.0,81.0,False,False,0.176,0.25,,81.0, , , , , , , , ,Giacomo Cannella,Konstantinos Gkiouvetsis, ,80,81,192,81.0,192.0
Fourth_Period,3,2,12221,Shot,,,,,,,81.0,Regular_Attack,867.0,81.0,,False,False,False,0.486,0.191,0.685,0.771,14341.0,80.0,,,,,,,,,,,,,,,,,,,,,81.0, , , ,Efstathios Kalogeropoulos, ,Tomasso Baggi Necchi, , , , , ,80,81,182,81.0,192.0
